state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Abuja (FCT),7488000,Toyota Venza 2012 Gold,Petrol,Automatic,Toyota,Venza,2012,Nigerian Used,168520,2700
Abuja (FCT),11232000,Lexus RX 2013 Black,Petrol,Automatic,Lexus,RX,2013,Nigerian Used,216467,3500
Oyo State,4888000,Lexus ES 2010 Gray,Petrol,Automatic,Lexus,ES,2010,Nigerian Used,85958,3500
Lagos State,80850000,Lexus LX 2019 Gray,Petrol,Automatic,Lexus,LX,2019,Nigerian Used,23787,5700
Lagos State,11550000,Porsche Kremer 2004 Black,Petrol,Automatic,Porsche,Kremer,2004,Foreign Used,469544,4500
Abuja (FCT),6032000,Mercedes-Benz E350 2010 Silver,Petrol,Automatic,Mercedes-Benz,E350,2010,Nigerian Used,152039,3500
Abuja (FCT),3120000,Acura MDX 2006 Black,Petrol,Automatic,Acura,MDX,2006,Nigerian Used,194567,3500
Lagos State,16800000,Ford F-150 2016 Gray,Petrol,Automatic,Ford,F-150,2016,Nigerian Used,162921,5000
Rivers State,3675000,Mercedes-Benz R-Class 2007 Black,Petrol,Automatic,Mercedes-Benz,R-Class,2007,Nigerian Used,91745,3500
Abuja (FCT),7560000,Land Rover Range Rover 2012 Gray,Petrol,Automatic,Land Rover,Range Rover,2012,Nigerian Used,113861,4900
Rivers State,3675000,Lexus RX 330 2004 Silver,Petrol,Automatic,Lexus,RX 330,2004,Nigerian Used,181438,3300
Abuja (FCT),6720000,Infiniti FX 2009 Black,Petrol,Automatic,Infiniti,FX,2009,Nigerian Used,98239,5000
Rivers State,10132500,Land Rover Range Rover 2010 Black,Petrol,Automatic,Land Rover,Range Rover,2010,Foreign Used,306019,5000
Abuja (FCT),3465000,Lexus ES 2008 Gray,Petrol,Automatic,Lexus,ES,2008,Nigerian Used,156770,3500
Oyo State,4200000,Lexus RX 350 2007 Silver,Petrol,Automatic,Lexus,RX 350,2007,Nigerian Used,198220,3500
Abuja (FCT),5145000,Lexus ES 2008 White,Petrol,Automatic,Lexus,ES,2008,Foreign Used,171339,3500
Abuja (FCT),14700000,Ford F-150 2015 Silver,Petrol,Automatic,Ford,F-150,2015,Nigerian Used,63826,2700
Lagos State,5040000,Toyota Highlander 2009 Blue,Petrol,Automatic,Toyota,Highlander,2009,Nigerian Used,92241,3500
Abuja (FCT),3328000,Ford Edge 2009 Silver,Petrol,Automatic,Ford,Edge,2009,Nigerian Used,122527,3500
Lagos State,36750000,Toyota Highlander 2020 White,Petrol,Automatic,Toyota,Highlander,2020,Nigerian Used,19928,3500
Oyo State,3255000,Chrysler 300 2009 Black,Petrol,Automatic,Chrysler,300,2009,Nigerian Used,145535,3500
Abuja (FCT),5250000,Nissan Frontier 2006 White,Petrol,Automatic,Nissan,Frontier,2006,Nigerian Used,163262,4000
Abuja (FCT),32240000,Land Rover Range Rover 2013 Silver,Petrol,Automatic,Land Rover,Range Rover,2013,Foreign Used,137270,5000
Lagos State,9975000,Lexus ES 2013 White,Petrol,Automatic,Lexus,ES,2013,Foreign Used,177366,3500
Abuja (FCT),4200000,Ford Edge 2011 Burgandy,Petrol,Automatic,Ford,Edge,2011,Nigerian Used,234862,3500
Lagos State,6090000,Toyota Venza 2014 Brown,Petrol,Automatic,Toyota,Venza,2014,Nigerian Used,92580,3500
Abuja (FCT),11550000,GAC GS4 2019 Black,Petrol,Automatic,GAC,GS4,2019,Nigerian Used,61564,1500
Abuja (FCT),26000000,Toyota Land Cruiser Prado 2014 Silver,Petrol,Automatic,Toyota,Land Cruiser Prado,2014,Nigerian Used,189815,4000
Abuja (FCT),6825000,Hyundai Veloster 2012 Green,Petrol,Automatic,Hyundai,Veloster,2012,Foreign Used,154274,1600
Lagos State,16800000,Mercedes-Benz GLA 250 2017 White,Petrol,Automatic,Mercedes-Benz,GLA 250,2017,Foreign Used,165275,2500
Oyo State,9880000,Toyota Highlander 2008 Black,Petrol,Automatic,Toyota,Highlander,2008,Nigerian Used,87577,3500
Rivers State,6615000,Toyota Highlander Limited 2012 Burgandy,Petrol,Automatic,Toyota,Highlander,2012,Nigerian Used,75278,3500
Abuja (FCT),14700000,Lexus GS 2015 White,Petrol,Automatic,Lexus,GS,2015,Foreign Used,124253,3500
Abuja (FCT),4056000,Toyota Highlander 2007 White,Petrol,Automatic,Toyota,Highlander,2007,Nigerian Used,121264,3300
Rivers State,4200000,Lexus GX 2006 Black,Petrol,Automatic,Lexus,GX,2006,Nigerian Used,117455,4700
Lagos State,5460000,Toyota Sequoia 2008 Gray,Petrol,Automatic,Toyota,Sequoia,2008,Nigerian Used,218242,5700
Abuja (FCT),26000000,Toyota Land Cruiser Prado 2014 Silver,Petrol,Automatic,Toyota,Land Cruiser Prado,2014,Nigerian Used,189815,4000
Rivers State,10132500,Land Rover Range Rover 2010 Black,Petrol,Automatic,Land Rover,Range Rover,2010,Foreign Used,306019,5000
Ogun State,2730000,Chevrolet Captiva 2010 Gray,Petrol,Automatic,Chevrolet,Captiva,2010,Nigerian Used,43464,2500
Abuja (FCT),5250000,Nissan Frontier 2006 White,Petrol,Automatic,Nissan,Frontier,2006,Nigerian Used,163262,4000
